student_id,age,gender,enrollment_status,first_generation,prior_gpa,weekly_logins,forum_posts,video_completion_pct,assignment_ontime_pct,weekly_hours,midterm_score,final_score,overall_grade,letter_grade,completed_course,at_risk,last_login_days_ago
STU0023,22,Male,Full-time,False,3.36,15,9,89.8,100.0,18.2,51.9,62.0,68.0,D,True,False,6
STU0024,24,Male,Part-time,False,2.44,8,5,62.0,34.3,14.7,57.2,55.0,50.6,F,True,True,4
STU0025,22,Female,Full-time,True,2.74,5,3,58.9,70.0,8.0,67.5,58.0,64.3,D,True,True,2
STU0026,26,Female,Full-time,False,3.24,13,5,83.7,78.6,14.4,73.0,82.4,78.2,C,True,False,1
STU0027,21,Male,Part-time,False,2.39,11,4,69.3,80.1,6.0,86.6,57.1,73.2,C,True,False,1
STU0028,30,Female,Full-time,False,3.36,9,10,68.7,90.0,11.6,42.7,45.0,55.4,F,True,True,3
STU0029,23,Female,Full-time,False,2.88,8,9,52.8,42.2,9.0,54.2,45.0,50.0,F,False,True,2
STU0030,19,Male,Full-time,True,2.81,4,5,73.9,53.9,13.2,63.3,71.3,64.1,D,True,True,1
STU0031,18,Female,Full-time,True,3.36,10,5,55.3,93.3,11.6,48.9,45.0,58.4,F,True,True,4
STU0032,23,Male,Full-time,False,3.22,8,8,56.9,91.7,12.3,51.2,55.4,63.0,D,True,False,2
STU0033,21,Male,Full-time,False,2.82,8,4,32.7,51.3,2.3,45.2,45.0,50.0,F,True,True,1
STU0034,24,Non-binary,Part-time,False,3.58,12,9,100.0,100.0,15.1,59.6,53.1,67.1,D,True,False,3
STU0035,23,Prefer not to say,Full-time,False,2.46,11,5,100.0,94.5,17.1,65.4,75.4,76.7,C,True,False,2
STU0036,21,Female,Full-time,True,3.31,17,13,98.1,100.0,19.8,67.5,67.6,75.7,C,True,False,4
STU0037,19,Male,Part-time,False,3.3,15,6,72.7,80.1,14.2,71.9,63.0,70.4,C,True,False,4
STU0038,18,Male,Part-time,True,2.85,12,5,62.6,68.4,11.7,69.5,64.5,67.2,D,True,True,1
STU0039,20,Female,Full-time,False,3.16,12,6,100.0,100.0,17.9,77.7,78.4,83.6,B,True,False,4
STU0040,24,Male,Full-time,False,2.37,5,4,93.3,61.2,7.0,54.9,47.4,53.5,F,True,True,0
STU0041,22,Male,Full-time,False,3.46,9,16,77.0,84.3,12.9,74.5,76.8,77.9,C,True,False,3
STU0042,18,Female,Full-time,True,2.91,5,8,82.7,81.1,10.6,75.6,80.1,78.8,C,True,False,3
STU0043,22,Male,Full-time,True,2.74,2,9,64.1,96.4,11.3,64.9,45.0,64.8,D,True,True,2
STU0044,23,Non-binary,Full-time,False,3.52,5,7,73.9,63.5,7.6,91.8,76.8,78.7,C,True,False,3
STU0045,19,Male,Full-time,True,2.65,15,9,99.7,97.5,17.7,76.9,66.4,77.8,C,True,False,1
STU0046,22,Female,Full-time,False,2.3,10,8,75.6,90.1,12.5,80.2,75.7,80.9,B,True,False,4
STU0047,22,Male,Part-time,True,2.22,17,3,86.0,59.9,14.9,40.0,45.0,50.0,F,False,True,3
STU0048,18,Female,Part-time,False,3.3,6,12,87.8,96.4,15.0,71.7,83.6,82.6,B,True,False,0
STU0049,23,Female,Full-time,False,2.36,6,7,61.2,95.6,16.5,56.7,45.0,61.8,D,True,True,2
STU0050,23,Male,Full-time,True,3.88,12,8,89.4,100.0,10.0,74.0,66.2,77.4,C,True,False,1
STU0051,25,Prefer not to say,Full-time,False,2.0,11,4,77.3,86.7,14.4,49.7,61.2,63.6,D,False,False,0
STU0052,25,Female,Part-time,True,3.85,8,9,61.0,85.2,15.9,76.6,60.2,72.2,C,False,False,3
STU0053,18,Non-binary,Full-time,True,3.11,12,6,88.6,100.0,15.4,49.8,51.1,62.9,D,True,False,1
STU0054,19,Female,Full-time,False,2.95,7,3,46.9,31.8,7.4,62.6,57.2,52.8,F,True,True,1
STU0055,23,Female,Part-time,False,2.73,6,7,75.7,73.3,10.1,50.7,53.7,57.5,F,False,True,1
STU0056,23,Non-binary,Part-time,False,3.2,10,7,73.5,83.6,13.3,63.3,63.3,68.4,D,True,False,4
STU0057,23,Male,Part-time,True,2.98,11,16,88.2,90.5,14.2,76.4,80.8,81.7,B,True,False,3
STU0058,33,Male,Full-time,False,3.55,9,8,74.1,100.0,12.1,69.4,59.0,72.9,C,True,False,0
STU0059,23,Male,Full-time,False,3.06,4,8,63.8,100.0,17.1,78.7,71.6,81.2,B,True,False,1
STU0060,25,Male,Full-time,False,3.08,3,5,54.9,49.3,9.6,49.9,46.5,50.0,F,True,True,4
STU0061,24,Male,Part-time,False,2.82,14,11,86.2,100.0,15.8,70.9,62.9,75.0,C,True,False,2
STU0062,23,Male,Part-time,False,2.97,4,9,96.7,100.0,15.9,79.2,68.4,80.1,B,True,False,1
STU0063,21,Female,Full-time,False,3.15,9,0,45.3,30.8,8.7,62.6,49.0,50.0,F,True,True,2
STU0064,24,Male,Full-time,False,2.14,15,7,69.8,76.2,9.0,61.8,54.6,62.5,D,True,False,1
STU0065,19,Male,Full-time,False,2.33,11,7,100.0,98.4,15.2,77.9,83.3,85.2,B,True,False,3
STU0066,21,Female,Part-time,False,3.37,5,9,60.4,53.5,11.7,60.9,55.5,56.9,F,False,True,3
STU0067,20,Male,Part-time,True,3.09,8,3,75.0,88.8,15.9,59.2,53.3,64.2,D,True,False,6
STU0068,22,Female,Full-time,False,2.91,7,5,37.7,70.0,6.7,63.2,54.5,61.4,D,True,True,1
STU0069,28,Male,Full-time,False,3.01,19,5,70.3,100.0,16.3,65.1,64.3,73.5,C,True,False,3
STU0070,18,Prefer not to say,Full-time,True,3.17,2,4,67.1,77.6,12.9,80.3,57.1,70.3,C,True,False,1
STU0071,24,Female,Part-time,True,2.73,10,7,77.6,100.0,11.3,69.5,62.7,74.4,C,True,False,4
STU0072,18,Male,Part-time,False,2.61,10,7,75.2,53.1,10.3,55.6,55.1,54.8,F,True,True,2
STU0073,20,Male,Part-time,False,3.1,17,9,92.7,100.0,20.0,74.3,67.9,78.2,C,True,False,3
STU0074,25,Female,Full-time,False,2.51,21,10,84.5,77.2,15.2,55.8,69.5,66.6,D,True,False,1
STU0075,22,Female,Full-time,True,3.2,10,6,50.1,53.3,11.3,69.6,58.2,60.9,D,True,True,2
STU0076,18,Female,Full-time,False,2.15,11,8,81.9,74.2,9.0,42.0,64.2,58.9,F,True,True,2
STU0077,19,Female,Full-time,True,3.51,11,7,85.7,100.0,21.8,88.4,76.0,86.3,B,True,False,2
STU0078,24,Male,Part-time,True,3.24,7,9,63.0,74.1,14.7,69.6,80.6,75.1,C,True,False,1
STU0079,19,Male,Part-time,True,3.13,14,11,96.7,88.4,15.3,70.3,64.7,72.6,C,True,False,4
STU0080,22,Male,Part-time,False,3.49,11,7,69.7,65.3,11.8,77.1,58.7,66.8,D,True,True,1
STU0081,22,Female,Part-time,False,3.83,11,7,84.4,100.0,15.9,80.0,75.7,83.3,B,True,False,1
STU0082,20,Female,Full-time,False,3.51,13,11,100.0,100.0,17.6,91.1,92.1,93.7,A,True,False,2
STU0083,28,Male,Part-time,False,2.08,7,3,57.1,35.9,10.8,67.9,45.0,50.7,F,True,True,2
STU0084,23,Male,Part-time,False,2.36,15,5,68.4,88.1,13.0,64.1,59.3,68.2,D,True,False,5
STU0085,18,Male,Part-time,False,2.69,9,11,84.7,95.6,17.1,57.6,57.0,66.9,D,True,False,0
STU0086,22,Male,Full-time,False,3.01,16,5,79.7,93.3,10.5,62.6,65.4,71.4,C,True,False,0
STU0087,20,Female,Full-time,False,3.26,10,10,62.1,94.0,12.3,66.7,63.1,72.1,C,True,False,2
STU0088,24,Female,Full-time,False,2.64,14,6,95.8,100.0,10.5,78.5,84.2,86.1,B,True,False,1
STU0089,19,Female,Part-time,False,3.09,14,10,65.2,79.6,16.3,64.0,63.4,67.7,D,True,False,4
STU0090,21,Female,Full-time,False,2.62,9,7,84.6,84.3,12.0,58.9,73.9,71.3,C,True,False,4
STU0091,23,Male,Full-time,False,2.69,14,6,70.0,75.5,9.6,85.8,68.9,76.5,C,True,False,2
STU0092,24,Female,Full-time,False,2.3,7,7,68.6,87.7,10.8,57.7,67.4,69.1,D,True,True,1
STU0093,18,Female,Full-time,True,2.54,14,6,74.1,84.6,14.5,56.1,62.1,65.6,D,True,False,1
STU0094,20,Female,Full-time,False,2.32,15,7,100.0,100.0,15.6,75.4,89.2,87.1,B,True,False,4
STU0095,20,Female,Full-time,False,2.51,7,13,70.9,71.7,9.5,59.1,45.0,56.6,F,True,True,1
STU0096,20,Female,Full-time,False,3.53,11,13,100.0,95.5,11.2,57.7,51.1,64.5,D,True,False,8
STU0097,27,Female,Full-time,False,2.53,6,3,67.2,84.8,10.2,67.4,76.0,75.2,C,True,False,0
STU0098,23,Male,Part-time,False,4.0,6,3,63.2,100.0,9.6,60.0,48.8,65.5,D,True,True,1
STU0099,18,Male,Full-time,True,3.25,12,9,58.7,81.3,11.7,66.2,54.5,65.3,D,True,False,3
STU0100,24,Male,Part-time,False,3.09,12,8,77.2,82.9,13.2,66.2,54.7,65.8,D,True,False,1
STU0101,28,Male,Full-time,False,2.57,15,7,67.6,56.1,14.1,64.3,72.9,65.7,D,True,True,3
STU0102,25,Female,Full-time,False,3.35,9,2,52.9,51.6,12.7,40.0,45.0,50.0,F,True,True,2
STU0103,18,Male,Part-time,True,2.71,5,3,41.4,45.5,8.7,48.9,46.6,50.0,F,False,True,2
STU0104,20,Female,Full-time,False,3.06,6,4,74.9,70.6,12.4,79.4,65.9,71.8,C,True,False,1
STU0105,25,Non-binary,Full-time,False,4.0,9,5,82.7,74.4,13.6,89.3,83.9,83.4,B,True,False,2
STU0106,19,Male,Full-time,False,2.95,12,3,94.8,100.0,14.2,57.0,56.1,67.4,D,True,False,0
STU0107,23,Male,Part-time,False,3.57,4,2,46.7,53.5,5.0,72.6,62.6,63.8,D,True,True,1
STU0108,24,Female,Full-time,False,2.65,7,8,65.7,68.4,13.8,49.0,45.0,52.3,F,True,True,0
STU0109,19,Male,Full-time,True,2.98,11,7,79.4,79.8,16.7,63.3,86.2,76.6,C,True,False,5
STU0110,21,Male,Full-time,False,3.89,6,6,99.0,100.0,19.5,71.5,65.0,76.0,C,True,False,4
STU0111,18,Male,Full-time,True,2.69,13,7,88.9,96.4,21.5,69.7,68.8,76.0,C,True,False,3
STU0112,18,Male,Full-time,False,3.91,3,4,62.1,47.3,6.5,76.8,77.4,69.6,D,True,True,1
STU0113,21,Non-binary,Full-time,True,3.35,13,5,68.1,64.1,13.3,73.4,61.6,66.4,D,True,True,2
STU0114,18,Female,Full-time,False,2.72,9,8,75.8,83.7,19.9,62.6,78.5,74.3,C,True,False,1
STU0115,26,Female,Full-time,False,3.32,16,11,89.8,89.8,15.5,84.6,71.0,80.4,B,True,False,4
STU0116,18,Female,Full-time,False,3.49,6,6,56.3,83.8,10.5,52.8,57.6,62.5,D,True,True,1
STU0117,20,Female,Part-time,False,3.31,11,9,79.6,100.0,8.6,65.3,55.2,69.9,D,False,False,0
STU0118,22,Male,Full-time,False,2.21,13,8,70.5,69.5,14.5,73.1,53.8,64.5,D,True,True,3
STU0119,26,Female,Full-time,True,2.64,9,8,70.5,69.8,18.8,70.4,70.0,70.1,C,True,False,1
STU0120,18,Female,Part-time,False,2.88,10,12,56.5,71.4,15.6,57.1,63.5,63.2,D,True,True,3
STU0121,25,Female,Full-time,True,2.96,7,6,100.0,80.2,13.3,50.3,45.1,55.7,F,True,True,0
STU0122,22,Female,Full-time,False,3.31,3,4,53.2,58.5,8.5,63.8,51.9,57.7,F,True,True,2
STU0123,19,Male,Part-time,False,3.09,2,4,39.9,50.8,6.7,40.0,56.4,50.0,F,True,True,2
STU0124,23,Male,Part-time,True,2.33,10,2,73.9,87.5,11.3,58.1,65.5,68.4,D,False,False,1
STU0125,22,Male,Full-time,True,3.19,9,7,86.4,94.8,8.2,80.5,64.7,77.8,C,True,False,3
STU0126,20,Male,Part-time,False,3.31,14,7,81.6,73.5,14.1,77.4,63.7,71.0,C,True,False,3
STU0127,22,Female,Full-time,False,3.28,21,12,73.4,96.7,17.0,43.5,72.0,68.2,D,True,False,1
STU0128,20,Female,Full-time,False,3.54,5,0,58.1,60.0,12.6,69.0,46.8,57.9,F,True,True,1
STU0129,22,Male,Full-time,False,3.42,10,6,81.2,100.0,18.8,69.4,67.3,76.2,C,True,False,3
STU0130,23,Female,Part-time,False,3.23,4,5,85.6,100.0,15.5,51.2,45.0,60.9,D,True,True,1
STU0131,26,Male,Full-time,True,2.96,10,7,87.0,73.6,11.0,67.3,74.8,71.9,C,True,False,0
STU0132,18,Male,Full-time,False,2.17,10,0,87.5,87.9,14.3,59.2,64.6,68.5,D,True,False,1
STU0133,28,Male,Full-time,True,3.21,10,3,70.6,44.2,8.6,55.3,54.6,52.2,F,True,True,3
STU0134,18,Male,Full-time,False,3.1,9,9,67.9,90.9,8.4,66.6,89.6,81.9,B,True,False,4
STU0135,21,Non-binary,Full-time,False,3.14,10,4,86.9,86.1,14.0,60.5,55.5,64.9,D,False,False,2
STU0136,23,Male,Full-time,False,2.36,8,12,85.9,90.7,5.3,60.1,76.2,74.2,C,True,False,0
STU0137,22,Female,Full-time,False,2.46,5,6,63.1,100.0,13.0,50.4,48.7,62.1,D,True,True,2
STU0138,20,Female,Full-time,False,3.53,8,6,79.6,76.3,14.3,65.1,61.4,66.5,D,True,False,1
STU0139,21,Male,Full-time,True,2.98,7,6,75.6,54.1,13.1,74.5,90.6,75.8,C,True,False,3
STU0140,20,Prefer not to say,Full-time,False,3.34,8,5,76.7,95.7,17.5,84.7,72.2,82.5,B,True,False,2
STU0141,20,Prefer not to say,Full-time,False,3.01,8,5,67.7,78.4,10.8,40.0,45.0,51.6,F,True,True,2
STU0142,24,Male,Full-time,False,3.01,11,11,81.0,70.4,17.7,75.4,70.4,72.2,C,True,False,2
STU0143,23,Female,Part-time,True,3.47,13,5,60.9,72.2,13.4,83.0,66.1,73.6,C,True,False,0
STU0144,19,Male,Full-time,False,2.74,11,8,74.7,100.0,11.9,83.3,75.1,84.2,B,True,False,3
STU0145,24,Male,Full-time,False,3.05,9,7,73.5,67.8,14.2,75.3,68.1,70.6,C,True,False,2
STU0146,22,Male,Full-time,False,2.77,6,7,65.5,79.4,6.8,49.2,75.8,67.4,D,True,True,0
STU0147,24,Female,Full-time,False,2.78,9,7,73.6,73.1,10.9,71.2,70.4,71.4,C,True,False,2
STU0148,23,Female,Full-time,False,2.85,6,7,35.2,52.6,7.9,44.6,45.0,50.0,F,False,True,2
STU0149,19,Male,Full-time,False,3.11,4,3,53.7,69.8,11.4,55.5,53.5,58.3,F,False,True,2
STU0150,20,Male,Full-time,True,2.76,9,6,86.5,90.1,12.1,69.7,57.6,70.0,D,False,False,2
STU0151,24,Non-binary,Full-time,False,3.63,9,8,73.4,65.4,10.0,60.5,57.4,60.5,D,True,True,3
STU0152,23,Male,Full-time,False,2.55,20,8,99.2,90.0,10.8,52.9,51.6,61.7,D,True,False,1
STU0153,21,Male,Full-time,False,2.91,10,9,74.4,100.0,12.6,72.1,87.9,85.4,B,True,False,2
STU0154,22,Female,Full-time,False,2.78,7,3,76.5,76.4,16.7,83.1,60.8,72.5,C,True,False,2
STU0155,25,Prefer not to say,Full-time,False,3.72,4,9,71.4,87.8,13.0,84.3,76.1,81.9,B,True,False,3
STU0156,20,Male,Full-time,False,3.1,17,6,89.7,83.0,15.2,74.1,62.4,71.6,C,True,False,2
STU0157,23,Female,Full-time,False,3.52,6,5,92.6,85.6,9.8,78.9,54.8,70.9,C,True,False,4
STU0158,21,Female,Full-time,True,2.26,20,17,89.2,92.9,11.8,72.4,71.8,77.3,C,True,False,2
STU0159,21,Male,Full-time,False,3.13,12,5,61.6,59.3,8.6,68.7,65.1,64.9,D,True,True,1
STU0160,25,Female,Part-time,False,3.44,7,4,81.8,100.0,14.1,82.1,77.3,84.7,B,True,False,1
STU0161,24,Male,Full-time,True,3.04,11,7,89.4,100.0,9.2,51.4,45.0,61.0,D,False,False,0
STU0162,24,Female,Full-time,False,3.53,5,2,72.7,50.7,8.3,67.0,46.4,54.7,F,False,True,2
STU0163,25,Female,Part-time,False,2.74,12,6,56.4,59.3,9.8,58.4,65.3,61.4,D,False,True,4
STU0164,22,Female,Part-time,False,3.7,14,4,77.5,76.2,9.5,71.2,55.0,66.0,D,True,False,1
STU0165,24,Male,Full-time,False,4.0,13,5,71.3,100.0,7.4,66.8,64.0,74.0,C,True,False,0
STU0166,21,Female,Full-time,False,2.82,16,7,85.8,93.1,14.4,71.2,53.1,69.4,D,True,False,2
STU0167,22,Male,Part-time,True,2.78,13,3,73.4,43.4,10.7,48.4,57.4,50.8,F,True,True,0
STU0168,21,Male,Full-time,False,3.73,5,5,52.0,58.0,12.0,58.2,62.9,60.0,D,True,True,0
STU0169,22,Male,Full-time,False,3.79,10,6,56.9,74.9,10.0,63.0,67.8,67.9,D,True,True,3
STU0170,23,Female,Full-time,True,2.74,11,7,91.9,71.9,16.3,76.1,79.5,76.4,C,True,False,2
STU0171,19,Female,Full-time,False,2.79,15,9,72.6,84.3,17.7,64.9,78.8,75.3,C,True,False,3
STU0172,28,Male,Full-time,False,2.86,11,8,66.5,68.6,12.7,56.2,45.0,54.8,F,True,True,1
STU0173,18,Female,Full-time,False,2.33,5,5,55.1,46.8,7.5,46.8,45.0,50.0,F,False,True,1
STU0174,18,Male,Full-time,False,2.54,6,7,68.1,64.0,11.9,58.4,65.3,62.6,D,True,True,2
STU0175,25,Female,Full-time,False,2.5,13,9,80.7,100.0,12.3,82.5,82.6,86.9,B,True,False,4
STU0176,24,Male,Full-time,False,2.62,6,9,84.5,89.8,13.1,51.7,52.8,61.7,D,True,True,3
STU0177,23,Female,Full-time,False,2.98,5,1,21.9,56.7,11.3,65.7,48.6,56.6,F,True,True,1
STU0178,23,Male,Full-time,False,3.12,19,11,97.6,94.7,14.9,76.3,64.2,76.1,C,True,False,4
STU0179,21,Non-binary,Full-time,True,3.78,13,4,80.4,80.4,17.1,63.0,46.8,60.8,D,True,False,1
STU0180,19,Male,Part-time,False,2.5,9,7,100.0,96.1,14.0,83.1,60.9,77.5,C,False,False,3
STU0181,22,Male,Full-time,True,3.49,13,6,81.1,83.1,12.5,76.1,54.8,69.3,D,False,False,1
STU0182,19,Male,Full-time,True,2.89,8,11,73.4,85.0,12.1,59.2,57.2,64.8,D,True,False,1
STU0183,24,Non-binary,Full-time,False,2.98,7,7,100.0,81.5,12.3,46.8,59.9,60.7,D,False,True,2
STU0184,21,Female,Full-time,False,3.34,9,5,79.1,69.5,14.0,68.2,65.7,67.5,D,True,True,3
STU0185,19,Male,Full-time,False,2.44,14,5,91.5,100.0,21.1,65.6,61.6,72.6,C,True,False,1
STU0186,21,Female,Full-time,False,3.19,8,11,87.9,78.2,12.2,54.4,52.4,59.6,F,True,True,3
STU0187,23,Female,Full-time,False,3.08,13,8,82.3,95.2,13.1,57.0,62.6,68.8,D,True,False,2
STU0188,20,Female,Full-time,False,3.25,14,14,91.2,97.1,13.2,81.8,58.0,76.1,C,True,False,2
STU0189,19,Female,Full-time,True,3.14,2,5,49.5,55.0,6.8,40.0,52.3,50.0,F,True,True,2
STU0190,22,Male,Full-time,False,4.0,13,9,92.7,98.2,18.5,79.7,83.7,85.9,B,True,False,0
STU0191,22,Male,Full-time,True,2.68,11,7,72.0,68.2,9.9,57.4,49.8,57.1,F,True,True,5
STU0192,20,Female,Full-time,False,2.73,5,3,49.8,44.5,8.4,62.3,51.1,53.3,F,True,True,2
STU0193,20,Non-binary,Full-time,True,2.69,9,12,83.2,59.0,9.5,58.2,70.4,63.3,D,True,True,2
STU0194,22,Female,Part-time,False,2.72,12,12,91.1,100.0,16.2,71.5,67.8,77.1,C,True,False,0
STU0195,18,Male,Full-time,True,2.68,8,8,65.2,87.4,12.2,52.3,60.9,64.5,D,True,False,4
STU0196,18,Male,Full-time,False,3.59,13,11,80.0,100.0,11.7,72.3,66.8,77.0,C,False,False,1
STU0197,19,Female,Part-time,False,3.71,13,10,97.1,94.8,11.2,77.4,83.5,84.2,B,True,False,1
STU0198,21,Female,Full-time,False,2.71,5,6,54.0,64.0,14.9,60.4,61.2,61.6,D,False,True,5
STU0199,22,Female,Full-time,True,2.58,11,6,100.0,95.2,16.6,73.6,77.2,80.5,B,True,False,0
STU0200,26,Female,Full-time,False,3.24,13,10,70.5,72.1,14.2,57.8,65.9,64.6,D,False,True,2
